#Accession	Length	Protein_name	Protein_name_alternative	Gene_name	Organism_scientific	Organism_common	Function
P0C7X7	73	Disintegrin mojastin-2	?	?	Crotalus scutulatus scutulatus	Mojave rattlesnake	Disintegrin mojastin-1: Inhibits the three processes involved in platelet function (adhesion, activation and aggregation). It inhibits platelet adhesion to fibronectin with an IC(50) of 58.6 nM. It inhibits ATP release from platelet induced by ADP with an IC(50) of 19.5 nM on platelet-rich plasma, probably by binding to ADP receptors (P2RY1 and P2RY12). Finally, it inhibits ADP-induced platelet aggregation with IC(50) of 44.7 nM on platelet-rich plasma and 19.3 nM on whole blood, probably by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) (PubMed:20598348). Disintegrin mojastin-2: Inhibits ADP-induced platelet aggregation (IC(50) = 13.8 nM) probably by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) located on the platelet surface.
P0DM87	484	Zinc metalloproteinase-disintegrin stejnitin	Snake venom metalloproteinase (SVMP)	?	Trimeresurus stejnegeri	Chinese green tree viper	Snake venom zinc metalloproteinase that inhibits ADP-induced platelet aggregation in human platelet-rich plasma (IC(50) is 175 nM) and cleaves alpha-(FGA) and subsequently the beta-chain (FGG) of bovine fibrinogen, leaving the gamma-chain unaffected. It is also able to inhibit proliferatin of ECV304 cells by inducing apoptosis of these cells.
P10451	314	Osteopontin	Bone sialoprotein 1 / Nephropontin / Secreted phosphoprotein 1 (SPP-1) / Urinary stone protein / Uropontin	SPP1	Homo sapiens	Human	Major non-collagenous bone protein that binds tightly to hydroxyapatite. Appears to form an integral part of the mineralized matrix. Probably important to cell-matrix interaction. Acts as a cytokine involved in enhancing production of interferon-gamma and interleukin-12 and reducing production of interleukin-10 and is essential in the pathway that leads to type I immunity.
P10600	412	Transforming growth factor beta-3 proprotein	?	TGFB3	Homo sapiens	Human	Transforming growth factor beta-3 proprotein: Precursor of the Latency-associated peptide (LAP) and Transforming growth factor beta-3 (TGF-beta-3) chains, which constitute the regulatory and active subunit of TGF-beta-3, respectively. Latency-associated peptide: Required to maintain the Transforming growth factor beta-3 (TGF-beta-3) chain in a latent state during storage in extracellular matrix (By similarity). Associates non-covalently with TGF-beta-3 and regulates its activation via interaction with 'milieu molecules', such as LTBP1 and LRRC32/GARP, that control activation of TGF-beta-3 (By similarity). Interaction with integrins results in distortion of the Latency-associated peptide chain and subsequent release of the active TGF-beta-3 (By similarity). Transforming growth factor beta-3: Multifunctional protein that regulates embryogenesis and cell differentiation and is required in various processes such as secondary palate development (By similarity). Activation into mature form follows different steps: following cleavage of the proprotein in the Golgi apparatus, Latency-associated peptide (LAP) and Transforming growth factor beta-3 (TGF-beta-3) chains remain non-covalently linked rendering TGF-beta-3 inactive during storage in extracellular matrix (By similarity). At the same time, LAP chain interacts with 'milieu molecules', such as LTBP1 and LRRC32/GARP that control activation of TGF-beta-3 and maintain it in a latent state during storage in extracellular milieus (By similarity). TGF-beta-3 is released from LAP by integrins: integrin-binding results in distortion of the LAP chain and subsequent release of the active TGF-beta-3 (By similarity). Once activated following release of LAP, TGF-beta-3 acts by binding to TGF-beta receptors (TGFBR1 and TGFBR2), which transduce signal (By similarity).
P11047	1609	Laminin subunit gamma-1	Laminin B2 chain / Laminin-1 subunit gamma / Laminin-10 subunit gamma / Laminin-11 subunit gamma / Laminin-2 subunit gamma / Laminin-3 subunit gamma / Laminin-4 subunit gamma / Laminin-6 subunit gamma / Laminin-7 subunit gamma / Laminin-8 subunit gamma / Laminin-9 subunit gamma / S-laminin subunit gamma (S-LAM gamma)	LAMC1	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
P11922	985	Invasin	?	YPTB1668	Yersinia pseudotuberculosis serotype I (strain IP32953)	?	Invasin is a protein that allows enteric bacteria to penetrate cultured mammalian cells. The entry of invasin in the cell is mediated by binding several beta-1 chain integrins.
P12255	3590	Filamentous hemagglutinin	?	fhaB	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)	?	Evidence for a role in host-cell binding and infection.
P13839	320	Bone sialoprotein 2	Bone sialoprotein II (BSP II) / Cell-binding sialoprotein / Integrin-binding sialoprotein	Ibsp	Rattus norvegicus	Rat	Binds tightly to hydroxyapatite. Appears to form an integral part of the mineralized matrix. Probably important to cell-matrix interaction. Promotes Arg-Gly-Asp-dependent cell attachment.
P14530	478	Zinc metalloproteinase/disintegrin	?	?	Protobothrops flavoviridis	Habu	Snake venom metalloproteinase HR2a: Zinc protease that induces hemorrhage. Disintegrin flavostatin: Inhibits platelet aggregation induced by ADP, thrombin, and collagen. Acts by inhibiting fibrinogen interaction with platelet receptors GPIIb/GPIIIa (ITGA2B/ITGB3).
P14543	1247	Nidogen-1	Entactin	NID1	Homo sapiens	Human	Sulfated glycoprotein widely distributed in basement membranes and tightly associated with laminin. Also binds to collagen IV and perlecan. It probably has a role in cell-extracellular matrix interactions.
P14555	144	Phospholipase A2, membrane associated	GIIC sPLA2 / Group IIA phospholipase A2 / Non-pancreatic secretory phospholipase A2 (NPS-PLA2) / Phosphatidylcholine 2-acylhydrolase 2A	PLA2G2A	Homo sapiens	Human	Secretory calcium-dependent phospholipase A2 that primarily targets extracellular phospholipids with implications in host antimicrobial defense, inflammatory response and tissue regeneration (PubMed:10455175, PubMed:10681567, PubMed:2925633). Hydrolyzes the ester bond of the fatty acyl group attached at sn-2 position of phospholipids (phospholipase A2 activity) with preference for phosphatidylethanolamines and phosphatidylglycerols over phosphatidylcholines (PubMed:10455175, PubMed:10681567). Contributes to lipid remodeling of cellular membranes and generation of lipid mediators involved in pathogen clearance. Displays bactericidal activity against Gram-positive bacteria by directly hydrolyzing phospholipids of the bacterial membrane (PubMed:11694541, PubMed:10358193). Upon sterile inflammation, targets membrane phospholipids of extracellular mitochondria released from activated platelets, generating free unsaturated fatty acids such as arachidonate that is used by neighboring leukocytes to synthesize inflammatory eicosanoids such as leukotrienes. Simultaneously, by compromising mitochondrial membrane integrity, promotes the release in circulation of potent damage-associated molecular pattern molecules that activate the innate immune response (PubMed:25082876). Plays a stem cell regulator role in the intestinal crypt. Within intracellular compartment mediates Paneth cell differentiation and its stem cell supporting functions by inhibiting Wnt signaling pathway in intestinal stem cell (ICS). Secreted in the intestinal lumen upon inflammation, acts in an autocrine way and promotes prostaglandin E2 synthesis that stimulates Wnt signaling pathway in ICS cells and tissue regeneration (By similarity). May play a role in the biosynthesis of N-acyl ethanolamines that regulate energy metabolism and inflammation. Hydrolyzes N-acyl phosphatidylethanolamines to N-acyl lysophosphatidylethanolamines, which are further cleaved by a lysophospholipase D to release N-acyl ethanolamines (PubMed:14998370). Independent of its catalytic activity, acts as a ligand for integrins (PubMed:18635536, PubMed:25398877). Binds to and activates integrins ITGAV:ITGB3, ITGA4:ITGB1 and ITGA5:ITGB1 (PubMed:18635536, PubMed:25398877). Binds to a site (site 2) which is distinct from the classical ligand-binding site (site 1) and induces integrin conformational changes and enhanced ligand binding to site 1 (PubMed:25398877). Induces cell proliferation in an integrin-dependent manner (PubMed:18635536).
P15503	480	Zinc metalloproteinase/disintegrin	?	?	Trimeresurus gramineus	Bamboo pit viper	Snake venom metalloproteinase: Impairs hemostasis in the envenomed animal. Disintegrin trigramin-alpha: Inhibits platelet aggregation induced by ADP, thrombin, platelet-activating factor and collagen. Acts by inhibiting fibrinogen interaction with platelet receptors GPIIb/GPIIIa (ITGA2B/ITGB3).
P17347	186	Disintegrin metalloproteinase/disintegrin echistatin	?	?	Echis carinatus sochureki	Saw-scaled viper	Snake venom metalloproteinase: Impairs hemostasis in the envenomed animal. Disintegrin echistatin: Potent inhibitor of ligand binding to the integrins alpha-V/beta-3 (ITGAV/ITGB3) (IC(50)=20.7 nM), alpha-IIb/beta-3 (ITGA2B/ITGB3) (IC(50)=51.5 nM), alpha-5/beta-1 (ITGA5/ITGB1) (IC(50)=132.6 nM), and moderate inhibitor of ligand binding to the integrin alpha-V/beta-5 (ITGAV/ITGB5) (IC(50)=286.4 nM) (PubMed:9269775, PubMed:33182321). Competition with fibrinogen for the RGD recognition sites on the alpha-IIb/beta-3 integrin (glyco-protein IIb/IIIa complex) results in the inhibition of platelet aggregation and other antithrombotic properties such as an ability to prevent coronary thrombosis in animal models (PubMed:3198653, PubMed:2320569) (Probable). Is also a potent inhibitor of bone resorption. This results from the blocking of the interaction of alpha-V/beta-3 integrin on the surface of osteoclasts with bone extracellular matrix (Probable). In addition, interaction with alpha-V/beta-3 also inhibits human umbilical vein endothelial cells (HUVEC) proliferation (IC(50)=103.2 nM) and inhibits the migration of some tumor cells (IC(50)=1.5-154.5 nM), suggesting that this disintegrin could be a good scaffold to design potent antiangiogenic agents by modifying its unique C-terminal tail structure (Probable) (PubMed:33182321).
P17349	481	Zinc metalloproteinase/disintegrin	?	?	Protobothrops elegans	Elegant pitviper	Snake venom metalloproteinase: Impairs hemostasis in the envenomed animal. Disintegrin elegantin-1a: Inhibits platelet aggregation induced by ADP, thrombin, platelet-activating factor and collagen. Acts by inhibiting fibrinogen interaction with platelet receptors GPIIb/GPIIIa (ITGA2B/ITGB3).
P17495	73	Disintegrin trigramin-beta-2	Platelet aggregation activation inhibitor	?	Trimeresurus gramineus	Bamboo pit viper	Inhibits fibrinogen interaction with platelets. Acts by binding to the alpha-IIb/beta-3 receptor (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P17497	83	Disintegrin bitistatin	Arietin / Bitan-alpha / Bitistatin D1 / Platelet aggregation activation inhibitor / Venom protein CM-2	?	Bitis arietans	African puff adder	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P17813	658	Endoglin	?	ENG	Homo sapiens	Human	Vascular endothelium glycoprotein that plays an important role in the regulation of angiogenesis (PubMed:21737454, PubMed:23300529). Required for normal structure and integrity of adult vasculature (PubMed:7894484). Regulates the migration of vascular endothelial cells (PubMed:17540773). Required for normal extraembryonic angiogenesis and for embryonic heart development (By similarity). May regulate endothelial cell shape changes in response to blood flow, which drive vascular remodeling and establishment of normal vascular morphology during angiogenesis (By similarity). May play a critical role in the binding of endothelial cells to integrins and/or other RGD receptors (PubMed:1692830). Acts as TGF-beta coreceptor and is involved in the TGF-beta/BMP signaling cascade that ultimately leads to the activation of SMAD transcription factors (PubMed:8370410, PubMed:21737454, PubMed:22347366, PubMed:23300529). Required for GDF2/BMP9 signaling through SMAD1 in endothelial cells and modulates TGFB1 signaling through SMAD3 (PubMed:21737454, PubMed:22347366, PubMed:23300529).
P18065	325	Insulin-like growth factor-binding protein 2	?	IGFBP2	Homo sapiens	Human	Inhibits IGF-mediated growth and developmental rates. IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors.
P18618	72	Disintegrin batroxostatin	Disintegrin colombistatin / Platelet aggregation activation inhibitor	?	Bothrops atrox	Barba amarilla	Inhibits fibrinogen interaction with platelets. Acts by binding to the glycoprotein IIb-IIIa receptor (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen. Also inhibits T24 and SK-Mel-28 cell adhesion to fibronectin with IC(50) of 4.4 uM and 33 nM, respectively.
P18619	483	Zinc metalloproteinase/disintegrin	?	?	Protobothrops flavoviridis	Habu	Snake venom metalloproteinase: Impairs hemostasis in the envenomed animal. Disintegrin flavoridin: Inhibits platelet aggregation induced by ADP, thrombin, platelet-activating factor and collagen. Acts by inhibiting fibrinogen interaction with platelet receptors GPIIb/GPIIIa (ITGA2B/ITGB3) (By similarity).
P19137	3083	Laminin subunit alpha-1	Laminin A chain / Laminin-1 subunit alpha / Laminin-3 subunit alpha / S-laminin subunit alpha (S-LAM alpha)	Lama1	Mus musculus	Mouse	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
P19320	739	Vascular cell adhesion protein 1	INCAM-100	VCAM1	Homo sapiens	Human	Important in cell-cell recognition. Appears to function in leukocyte-endothelial cell adhesion. Interacts with integrin alpha-4/beta-1 (ITGA4/ITGB1) on leukocytes, and mediates both adhesion and signal transduction. The VCAM1/ITGA4/ITGB1 interaction may play a pathophysiologic role both in immune responses and in leukocyte emigration to sites of inflammation.
P21404	2201	Genome polyprotein	?	?	Coxsackievirus A9 (strain Griggs)	?	Capsid protein VP1: Forms an icosahedral capsid of pseudo T=3 symmetry with capsid proteins VP2 and VP3 (By similarity). The capsid is 300 Angstroms in diameter, composed of 60 copies of each capsid protein and enclosing the viral positive strand RNA genome (By similarity). Capsid protein VP1 mainly forms the vertices of the capsid (By similarity). Capsid protein VP1 interacts with host integrin ITGAV/ITGB6 to provide virion attachment to target host cells (Probable). This attachment induces virion internalization (By similarity). Tyrosine kinases are probably involved in the entry process (By similarity). After binding to its receptor, the capsid undergoes conformational changes (By similarity). Capsid protein VP1 N-terminus (that contains an amphipathic alpha-helix) and capsid protein VP4 are externalized (By similarity). Together, they shape a pore in the host membrane through which viral genome is translocated to host cell cytoplasm (By similarity). Capsid protein VP2: Forms an icosahedral capsid of pseudo T=3 symmetry with capsid proteins VP2 and VP3 (By similarity). The capsid is 300 Angstroms in diameter, composed of 60 copies of each capsid protein and enclosing the viral positive strand RNA genome (By similarity). Capsid protein VP3: Forms an icosahedral capsid of pseudo T=3 symmetry with capsid proteins VP2 and VP3 (By similarity). The capsid is 300 Angstroms in diameter, composed of 60 copies of each capsid protein and enclosing the viral positive strand RNA genome (By similarity). Capsid protein VP4: Lies on the inner surface of the capsid shell (By similarity). After binding to the host receptor, the capsid undergoes conformational changes (By similarity). Capsid protein VP4 is released, Capsid protein VP1 N-terminus is externalized, and together, they shape a pore in the host membrane through which the viral genome is translocated into the host cell cytoplasm (By similarity). Capsid protein VP0: Component of immature procapsids, which is cleaved into capsid proteins VP4 and VP2 after maturation (By similarity). Allows the capsid to remain inactive before the maturation step (By similarity). Protease 2A: Cysteine protease that cleaves viral polyprotein and specific host proteins (By similarity). It is responsible for the autocatalytic cleavage between the P1 and P2 regions, which is the first cleavage occurring in the polyprotein (By similarity). Cleaves also the host translation initiation factor EIF4G1, in order to shut down the capped cellular mRNA translation (By similarity). Inhibits the host nucleus-cytoplasm protein and RNA trafficking by cleaving host members of the nuclear pores (By similarity). Counteracts stress granule formation probably by antagonizing its assembly or promoting its dissassembly (By similarity). Cleaves and inhibits host IFIH1/MDA5, thereby inhibiting the type-I IFN production and the establishment of the antiviral state (By similarity). Cleaves and inhibits host MAVS, thereby inhibiting the type-I IFN production and the establishment of the antiviral state (By similarity). Protein 2B: Plays an essential role in the virus replication cycle by acting as a viroporin. Creates a pore in the host reticulum endoplasmic and as a consequence releases Ca2+ in the cytoplasm of infected cell. In turn, high levels of cytoplasmic calcium may trigger membrane trafficking and transport of viral ER-associated proteins to viroplasms, sites of viral genome replication. Protein 2C: Induces and associates with structural rearrangements of intracellular membranes. Displays RNA-binding, nucleotide binding and NTPase activities. May play a role in virion morphogenesis and viral RNA encapsidation by interacting with the capsid protein VP3. Protein 3AB: Localizes the viral replication complex to the surface of membranous vesicles. Together with protein 3CD binds the Cis-Active RNA Element (CRE) which is involved in RNA synthesis initiation. Acts as a cofactor to stimulate the activity of 3D polymerase, maybe through a nucleid acid chaperone activity. Protein 3A: Localizes the viral replication complex to the surface of membranous vesicles (By similarity). It inhibits host cell endoplasmic reticulum-to-Golgi apparatus transport and causes the disassembly of the Golgi complex, possibly through GBF1 interaction (By similarity). This would result in depletion of MHC, trail receptors and IFN receptors at the host cell surface (By similarity). Plays an essential role in viral RNA replication by recruiting ACBD3 and PI4KB at the viral replication sites, thereby allowing the formation of the rearranged membranous structures where viral replication takes place (By similarity). Viral protein genome-linked: Acts as a primer for viral RNA replication and remains covalently bound to viral genomic RNA. VPg is uridylylated prior to priming replication into VPg-pUpU (By similarity). The oriI viral genomic sequence may act as a template for this. The VPg-pUpU is then used as primer on the genomic RNA poly(A) by the RNA-dependent RNA polymerase to replicate the viral genome (By similarity). Following genome release from the infecting virion in the cytoplasm, the VPg-RNA linkage is probably removed by host TDP2 (By similarity). During the late stage of the replication cycle, host TDP2 is excluded from sites of viral RNA synthesis and encapsidation, allowing for the generation of progeny virions (By similarity). Protein 3CD: Involved in the viral replication complex and viral polypeptide maturation. It exhibits protease activity with a specificity and catalytic efficiency that is different from protease 3C. Protein 3CD lacks polymerase activity. Protein 3CD binds to the 5'UTR of the viral genome. RNA-directed RNA polymerase: Replicates the viral genomic RNA on the surface of intracellular membranes. May form linear arrays of subunits that propagate along a strong head-to-tail interaction called interface-I. Covalently attaches UMP to a tyrosine of VPg, which is used to prime RNA synthesis. The positive stranded RNA genome is first replicated at virus induced membranous vesicles, creating a dsRNA genomic replication form. This dsRNA is then used as template to synthesize positive stranded RNA genomes. ss(+)RNA genomes are either translated, replicated or encapsidated. Protease 3C: Major viral protease that mediates proteolytic processing of the polyprotein (By similarity). Cleaves host EIF5B, contributing to host translation shutoff (By similarity). Cleaves also host PABPC1, contributing to host translation shutoff (By similarity). Cleaves host NLRP1, triggers host N-glycine-mediated degradation of the autoinhibitory NLRP1 N-terminal fragment (By similarity).
P21815	317	Bone sialoprotein 2	Bone sialoprotein II (BSP II) / Cell-binding sialoprotein / Integrin-binding sialoprotein	IBSP	Homo sapiens	Human	Binds tightly to hydroxyapatite. Appears to form an integral part of the mineralized matrix. Probably important to cell-matrix interaction. Promotes Arg-Gly-Asp-dependent cell attachment.
P21859	70	Disintegrin triflavin	Platelet aggregation activation inhibitor / RGD-containing peptide / Trimestatin	?	Protobothrops flavoviridis	Habu	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P22826	51	Disintegrin eristicophin	Platelet aggregation activation inhibitor	?	Eristicophis macmahoni	Leaf-nosed viper	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P22827	73	Disintegrin barbourin	Platelet aggregation activation inhibitor	?	Sistrurus miliarius barbouri	Dusky pigmy rattlesnake	Inhibitor of ligand binding to the integrins alpha-IIb/beta-3 (ITGA2B/ITGB3). Competition with fibrinogen for the RGD recognition sites on the alpha-IIb/beta-3 integrin results in the inhibition of platelet aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P22828	73	Disintegrin tergeminin	Platelet aggregation activation inhibitor	?	Sistrurus tergeminus	Western massasauga	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P24043	3122	Laminin subunit alpha-2	Laminin M chain / Laminin-12 subunit alpha / Laminin-2 subunit alpha / Laminin-4 subunit alpha / Merosin heavy chain	LAMA2	Homo sapiens	Human	Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
P24821	2201	Tenascin	Cytotactin / GMEM / GP 150-225 / Glioma-associated-extracellular matrix antigen / Hexabrachion / JI / Myotendinous antigen / Neuronectin / Tenascin-C (TN-C)	TNC	Homo sapiens	Human	Extracellular matrix protein implicated in guidance of migrating neurons as well as axons during development, synaptic plasticity as well as neuronal regeneration. Promotes neurite outgrowth from cortical neurons grown on a monolayer of astrocytes. Ligand for integrins alpha-8/beta-1, alpha-9/beta-1, alpha-V/beta-3 and alpha-V/beta-6. In tumors, stimulates angiogenesis by elongation, migration and sprouting of endothelial cells (PubMed:19884327).
P28375	59	Dendroaspin	Glycoprotein IIb-IIIa antagonist / Mambin / Platelet aggregation inhibitor	?	Dendroaspis jamesoni kaimosae	Eastern Jameson's mamba	Inhibits ADP-induced platelet aggregation and inhibits the binding of purified platelet fibrinogen receptor alpha-IIb/beta-3 (ITGA2B/ITGB3) to immobilized fibrinogen (PubMed:1591238). Has also been described to inhibit cell adhesion to fibrinogen, fibronectin, laminin and collagen (PubMed:16798616, PubMed:11336631).
P29122	969	Proprotein convertase subtilisin/kexin type 6	Paired basic amino acid cleaving enzyme 4 / Subtilisin-like proprotein convertase 4 (SPC4) / Subtilisin/kexin-like protease PACE4	PCSK6	Homo sapiens	Human	Serine endoprotease that processes various proproteins by cleavage at paired basic amino acids, recognizing the RXXX[KR]R consensus motif. Likely functions in the constitutive secretory pathway, with unique restricted distribution in both neuroendocrine and non-neuroendocrine tissues.
P29279	349	CCN family member 2	Cellular communication network factor 2 / Connective tissue growth factor / Hypertrophic chondrocyte-specific protein 24 / Insulin-like growth factor-binding protein 8 (IBP-8IGF-binding protein 8IGFBP-8)	CCN2	Homo sapiens	Human	Major connective tissue mitoattractant secreted by vascular endothelial cells. Promotes proliferation and differentiation of chondrocytes. Mediates heparin- and divalent cation-dependent cell adhesion in many cell types including fibroblasts, myofibroblasts, endothelial and epithelial cells. Enhances fibroblast growth factor-induced DNA synthesis.
P29965	261	CD40 ligand	T-cell antigen Gp39 / TNF-related activation protein (TRAP) / Tumor necrosis factor ligand superfamily member 5	CD40LG	Homo sapiens	Human	Cytokine that acts as a ligand to CD40/TNFRSF5 (PubMed:1280226, PubMed:31331973). Costimulates T-cell proliferation and cytokine production (PubMed:8617933). Its cross-linking on T-cells generates a costimulatory signal which enhances the production of IL4 and IL10 in conjunction with the TCR/CD3 ligation and CD28 costimulation (PubMed:8617933). Induces the activation of NF-kappa-B (PubMed:15067037, PubMed:31331973). Induces the activation of kinases MAPK8 and PAK2 in T-cells (PubMed:15067037). Induces tyrosine phosphorylation of isoform 3 of CD28 (PubMed:15067037). Mediates B-cell proliferation in the absence of co-stimulus as well as IgE production in the presence of IL4 (By similarity). Involved in immunoglobulin class switching (By similarity). CD40 ligand, soluble form: Acts as a ligand for integrins, specifically ITGA5:ITGB1 and ITGAV:ITGB3; both integrins and the CD40 receptor are required for activation of CD40-CD40LG signaling, which have cell-type dependent effects, such as B-cell activation, NF-kappa-B signaling and anti-apoptotic signaling.
P30403	478	Zinc metalloproteinase/disintegrin	?	?	Calloselasma rhodostoma	Malayan pit viper	Snake venom metalloproteinase rhodostoxin: Impairs hemostasis in the envenomed animal. Disintegrin rhodostomin: Inhibits platelet aggregation induced by ADP, thrombin, platelet-activating factor and collagen. Acts by inhibiting fibrinogen interaction with platelet receptors alpha-IIb/beta-3 (ITGA2B/ITGB3).
P31981	72	Disintegrin basilicin	Platelet aggregation activation inhibitor	?	Crotalus basiliscus	Mexican west-coast rattlesnake	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P31982	73	Disintegrin cerastin	Platelet aggregation activation inhibitor	?	Crotalus cerastes cerastes	Mojave desert sidewinder	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P31984	73	Disintegrin molossin	Platelet aggregation activation inhibitor	?	Crotalus molossus molossus	Northern black-tailed rattlesnake	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P31985	72	Disintegrin cereberin	Platelet aggregation activation inhibitor	?	Crotalus cerberus	Arizona black rattlesnake	Inhibits fibrinogen interaction with platelet. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P31986	73	Disintegrin lutosin	Platelet aggregation activation inhibitor	?	Crotalus oreganus lutosus	Great basin rattlesnake	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P31987	71	Disintegrin viridin	Platelet aggregation activation inhibitor	?	Crotalus viridis viridis	Prairie rattlesnake	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P31988	72	Disintegrin cotiarin	Platelet aggregation activation inhibitor	?	Bothrops cotiara	Cotiara	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P31989	161	Zinc metalloproteinase/disintegrin	?	?	Bothrops jararaca	Jararaca	Snake venom metalloproteinase: Impairs hemostasis in the envenomed animal. Disintegrin: inhibit platelet aggregation induced by ADP, thrombin, platelet-activating factor and collagen. Acts by inhibiting fibrinogen interaction with platelet receptors GPIIb/GPIIIa (ITGA2B/ITGB3) (By similarity).
P31990	73	Disintegrin lachesin	Platelet aggregation activation inhibitor	?	Lachesis muta muta	Bushmaster	Inhibits fibrinogen interaction with platelets. Acts by binding to alpha-IIb/beta-3 (ITGA2B/ITGB3) on the platelet surface and inhibits aggregation induced by ADP, thrombin, platelet-activating factor and collagen.
P32942	547	Intercellular adhesion molecule 3	CDw50 / ICAM-R	ICAM3	Homo sapiens	Human	ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2) (PubMed:1448173). ICAM3 is also a ligand for integrin alpha-D/beta-2. In association with integrin alpha-L/beta-2, contributes to apoptotic neutrophil phagocytosis by macrophages (PubMed:23775590).
P35442	1172	Thrombospondin-2	?	THBS2	Homo sapiens	Human	Adhesive glycoprotein that mediates cell-to-cell and cell-to-matrix interactions. Ligand for CD36 mediating antiangiogenic properties.
